SITE,DATE_LOCAL,avg_temp
ABUR,2003-01-09,14.682777777777778
ABUR,2003-01-10,14.73
ABUR,2003-01-11,14.73
ABUR,2003-01-12,14.759375
ABUR,2003-01-13,14.7825
ABUR,2003-01-14,14.91826388888889
ABUR,2003-01-15,15.214305555555555
ABUR,2003-01-16,15.25201388888889
ABUR,2003-01-17,15.316458333333333
ABUR,2003-01-18,15.057847222222222
ABUR,2003-01-19,14.908125
ABUR,2003-01-20,15.039791666666666
ABUR,2003-01-21,15.251527777777778
ABUR,2003-01-22,15.393888888888888
ABUR,2003-01-23,15.408055555555556
ABUR,2003-01-24,15.390625
ABUR,2003-01-25,15.32625
ABUR,2003-01-26,15.317638888888888
ABUR,2003-01-27,15.173541666666667
ABUR,2003-01-28,15.232430555555556
ABUR,2003-01-29,15.265069444444444
