SITE,year,month,monthly_mean
AHND,2009,Dec,14.258
AHND,2010,Jan,14.535
AHND,2010,Feb,14.284
AHND,2010,Mar,12.51
AHND,2010,Apr,12.453
AHND,2010,May,11.424
AHND,2010,Jun,14.966
AHND,2010,Jul,14.816
AHND,2010,Aug,14.192
AHND,2010,Sep,14.419
AHND,2010,Oct,15.525
AHND,2010,Nov,14.057
AHND,2010,Dec,12.978
AHND,2011,Jan,12.954
AHND,2011,Feb,13.28
AHND,2011,Mar,11.365
AHND,2011,Apr,11.747
AHND,2011,May,11.735
AHND,2011,Jun,13.675
AHND,2011,Jul,16.4
AHND,2011,Aug,16.274
AHND,2011,Sep,15.773
AHND,2011,Oct,15.292
AHND,2011,Nov,14.697
AHND,2011,Dec,14.218
AHND,2012,Jan,13.982
AHND,2012,Feb,13.018
AHND,2012,Jul,15.755
AHND,2012,Aug,16.857
AHND,2012,Sep,17.46
AHND,2012,Oct,17.231
AHND,2012,Nov,15.576
AHND,2012,Dec,14.783
AHND,2013,Jan,12.404
AHND,2013,Feb,12.416
AHND,2013,Mar,12.965
AHND,2013,Apr,12.52
AHND,2013,May,14.553
AHND,2013,Jun,15.839
AHND,2013,Jul,16.148
AHND,2013,Aug,16.456
AHND,2013,Sep,15.997
AHND,2013,Oct,16.578
AHND,2013,Nov,16.042
AHND,2013,Dec,14.531
AHND,2014,Jan,15.143
AHND,2014,Feb,14.313
AHND,2014,Mar,14.348
AHND,2014,Apr,12.296
AHND,2014,May,13.44
AHND,2014,Jun,16.317
AHND,2014,Jul,18.157
AHND,2014,Aug,17.333
AHND,2014,Sep,17.747
AHND,2014,Oct,19.297
AHND,2014,Nov,18.074
AHND,2014,Dec,17.509
AHND,2015,Jan,16.162
AHND,2015,Feb,16.069
AHND,2015,Mar,15.628
AHND,2015,Apr,13.329
AHND,2015,May,13.283
AHND,2015,Jun,15.711
AHND,2015,Jul,16.889
AHND,2015,Aug,18.52
AHND,2015,Sep,20.867
AHND,2015,Oct,19.719
AHND,2015,Nov,17.009
AHND,2015,Dec,16.227
AHND,2016,Jan,14.732
AHND,2016,Feb,14.826
AHND,2016,Mar,14.133
AHND,2016,Apr,13.345
AHND,2016,May,13.946
AHND,2016,Jun,15.131
AHND,2016,Jul,17.141
AHND,2016,Aug,17.277
AHND,2016,Sep,17.233
AHND,2016,Oct,16.085
AHND,2016,Nov,15.832
AHND,2016,Dec,14.31
AHND,2017,Jan,13.841
AHND,2017,Feb,13.795
AHND,2017,Mar,13.332
AHND,2017,Apr,12.422
AHND,2017,May,13.058
AHND,2017,Jun,15.038
AHND,2017,Jul,16.419
AHND,2017,Aug,17.666
AHND,2017,Sep,16.988
AHND,2017,Oct,17.164
AHND,2017,Nov,15.868
